NU_EQUIP_MULTIMIDIA;TX_RESP_Q004_H;TX_RESP_Q022_C;TX_RESP_Q023_C;TX_RESP_Q043_A
0.3125;0.0967741935483871;0.1;0.16666666666666666;0.11023622047244094
0.25;0.12903225806451613;0.26666666666666666;0.15384615384615385;0.09448818897637795
0.25;0.03225806451612903;0.1;0.08974358974358974;0.19685039370078738
0.125;0.1935483870967742;0.16666666666666666;0.3333333333333333;0.49606299212598426
0.0625;0.12903225806451613;0.13333333333333333;0.1282051282051282;0.18110236220472442
0.125;0.03225806451612903;0.0;0.0641025641025641;0.11811023622047244
0.1875;0.0967741935483871;0.1;0.20512820512820512;0.30708661417322836
0.1875;0.4193548387096774;0.6333333333333333;0.5;0.8425196850393701
0.0625;0.0967741935483871;0.13333333333333333;0.16666666666666666;0.09448818897637795
0.0625;0.3548387096774194;0.3;0.3076923076923077;0.33858267716535434
0.0;0.16129032258064516;0.23333333333333334;0.24358974358974358;0.09448818897637795
0.0625;0.1935483870967742;0.16666666666666666;0.11538461538461538;0.17322834645669294
0.5625;0.4193548387096774;0.26666666666666666;0.5;0.8188976377952756
0.0;0.16129032258064516;0.16666666666666666;0.14102564102564102;0.20472440944881892
0.125;0.29032258064516125;0.2;0.358974358974359;0.28346456692913385
0.1875;0.1935483870967742;0.2;0.15384615384615385;0.2204724409448819
0.0;0.0;0.16666666666666666;0.24358974358974358;0.19685039370078738
0.0;0.3225806451612903;0.3;0.16666666666666666;0.2125984251968504
0.0625;0.3548387096774194;0.23333333333333334;0.23076923076923075;0.25984251968503935
0.0;0.29032258064516125;0.06666666666666667;0.10256410256410256;0.12598425196850394
0.0;0.03225806451612903;0.0;0.05128205128205128;0.047244094488188976
0.0;0.0967741935483871;0.13333333333333333;0.1282051282051282;0.19685039370078738
0.0;0.3548387096774194;0.16666666666666666;0.15384615384615385;0.12598425196850394
0.0625;0.25806451612903225;0.5;0.24358974358974358;0.2913385826771654
0.0625;0.4838709677419355;0.5333333333333333;0.6794871794871795;0.4409448818897638
0.0625;0.06451612903225806;0.23333333333333334;0.1923076923076923;0.33070866141732286
0.0;0.03225806451612903;0.16666666666666666;0.16666666666666666;0.18110236220472442
0.0625;0.29032258064516125;0.1;0.15384615384615385;0.4015748031496063
0.125;0.5483870967741935;0.06666666666666667;0.24358974358974358;0.2755905511811024
0.125;0.0967741935483871;0.16666666666666666;0.20512820512820512;0.2913385826771654
0.125;0.0;0.03333333333333333;0.02564102564102564;0.023622047244094488
0.0625;0.06451612903225806;0.16666666666666666;0.14102564102564102;0.11023622047244094
0.0;0.29032258064516125;0.13333333333333333;0.2692307692307692;0.4015748031496063
0.0;0.0967741935483871;0.0;0.038461538461538464;0.10236220472440945
0.0625;0.0;0.06666666666666667;0.1794871794871795;0.05511811023622047
0.0625;0.0967741935483871;0.0;0.038461538461538464;0.031496062992125984
0.125;0.12903225806451613;0.1;0.0641025641025641;0.07086614173228346
0.3125;0.16129032258064516;0.2;0.3333333333333333;0.3779527559055118
0.125;0.12903225806451613;0.2;0.5512820512820512;0.4409448818897638
0.125;0.22580645161290322;0.2;0.2948717948717949;0.5118110236220472
0.125;0.03225806451612903;0.06666666666666667;0.11538461538461538;0.13385826771653542
0.0625;0.5806451612903225;0.36666666666666664;0.4615384615384615;0.44881889763779526
0.125;0.0967741935483871;0.16666666666666666;0.2948717948717949;0.13385826771653542
0.1875;0.0;0.06666666666666667;0.15384615384615385;0.05511811023622047
0.0;0.1935483870967742;0.43333333333333335;0.20512820512820512;0.5984251968503937
0.125;0.4838709677419355;0.26666666666666666;0.4615384615384615;0.7480314960629921
0.125;0.0;0.03333333333333333;0.05128205128205128;0.031496062992125984
